zones,annee,saison,type,superficie,production,station,cloud_cover_mean_saison,et0_fao_evapotranspiration_saison,nb_jours_pluie,nb_jours_saison,precipitation_hours_saison,precipitation_sum_saison,shortwave_radiation_saison,soil_moisture_saison,soil_temperature_saison,sunshine_duration_saison,temperature_2m_mean_saison,wind_speed_10m_max_saison
Kemacina,2018,hivernage,casiers,12800.0,81920.0,kemacina,60.532786885245905,4.9173770491803275,79.0,122,450,369.9,19.95393442622951,0.2177704918032787,30.904098360655738,4127682.04,28.513934426229508,13.904098360655738
Kemacina,2018,hivernage,hors_casiers,68.0,374.68,kemacina,60.532786885245905,4.9173770491803275,79.0,122,450,369.9,19.95393442622951,0.2177704918032787,30.904098360655738,4127682.04,28.513934426229508,13.904098360655738
Kemacina,2018,contre_saison,casiers,1656.12,9109.0,kemacina,38.947916666666664,7.620625,5.0,96,24,7.0,22.319895833333334,0.13226041666666666,29.87708333333333,3553431.71,29.90833333333333,15.227083333333333
Kolongo,2018,hivernage,casiers,12800.0,81920.0,kolongo,59.0,5.16655737704918,76.0,122,386,332.3,20.023032786885246,0.28535245901639344,32.523770491803276,4144513.9,28.927049180327867,16.427868852459017
Kolongo,2018,hivernage,hors_casiers,2207.27,11349.76,kolongo,59.0,5.16655737704918,76.0,122,386,332.3,20.023032786885246,0.28535245901639344,32.523770491803276,4144513.9,28.927049180327867,16.427868852459017
Kolongo,2018,contre_saison,casiers,891.29,4751.0,kolongo,38.577319587628864,8.03556701030928,6.0,97,17,3.5,22.409484536082473,0.24778350515463918,31.122680412371135,3595052.99,29.990721649484534,17.370103092783506
Sosse_sibila,2018,hivernage,casiers,4542.59,15031.43,sosse,60.74590163934426,4.656147540983606,89.0,122,487,412.7,19.43155737704918,0.3641475409836066,30.904098360655738,4108659.02,28.252459016393445,13.923770491803278
Sosse_sibila,2018,hivernage,hors_casiers,,,sosse,60.74590163934426,4.656147540983606,89.0,122,487,412.7,19.43155737704918,0.3641475409836066,30.904098360655738,4108659.02,28.252459016393445,13.923770491803278
Niono,2018,hivernage,casiers,13044.78,84295.37,niono,59.5,4.949180327868852,76.0,122,415,370.6,19.70704918032787,0.21958196721311476,31.368032786885248,4125421.15,28.74590163934426,14.367213114754097
Niono,2018,hivernage,hors_casiers,712.22,3675.06,niono,59.5,4.949180327868852,76.0,122,415,370.6,19.70704918032787,0.21958196721311476,31.368032786885248,4125421.15,28.74590163934426,14.367213114754097
